Date,Stock,Direction,OR High,OR Low,OR%,Entry,Entry Time,SL,Target,Exit,Exit Reason,P&L
2026-03-24,ADANIGREEN,SHORT,833.0,821.1,1.43,821.1,09:49:00,833.0,785.4,833.0,SL,-2957
2026-03-25,VBL,LONG,397.0,391.1,1.49,397.0,09:36:00,391.1,414.7,401.55,EOD,2192
2026-03-25,AUROPHARMA,LONG,1301.0,1282.1,1.46,1301.0,09:36:00,1282.1,1357.7,1308.5,EOD,1053
2026-03-25,INDUSINDBK,LONG,814.7,802.95,1.46,814.7,09:36:00,802.95,849.95,816.8,EOD,416
2026-03-27,HDFCBANK,SHORT,774.9,763.35,1.49,763.35,09:50:00,774.9,728.7,757.0,EOD,1578
2026-03-27,ADANIENT,SHORT,1883.2,1855.5,1.47,1855.5,09:56:00,1883.2,1772.4,1823.9,EOD,3365
2026-03-27,SBIN,SHORT,1055.3,1040.1,1.45,1040.1,09:36:00,1055.3,994.5,1019.1,EOD,4021
2026-03-30,TCS,LONG,2389.8,2355.0,1.47,2389.8,09:36:00,2355.0,2494.2,2355.0,SL,-3012
2026-03-30,DLF,LONG,520.4,512.8,1.47,520.4,09:36:00,512.8,543.2,512.8,SL,-3021
2026-03-30,POWERGRID,LONG,296.2,292.0,1.44,296.2,09:36:00,292.0,308.8,296.25,EOD,-66
2026-04-01,LODHA,SHORT,697.0,686.7,1.49,686.7,09:36:00,697.0,655.8,684.65,EOD,499
2026-04-01,ADANIGREEN,LONG,839.45,827.15,1.48,839.45,09:48:00,827.15,876.35,851.0,EOD,2652
2026-04-01,APOLLOHOSP,SHORT,7587.0,7475.0,1.48,7475.0,09:36:00,7587.0,7139.0,7305.0,EOD,4554
2026-04-02,TCS,LONG,2411.0,2375.7,1.48,2411.0,09:41:00,2375.7,2516.9,2454.1,EOD,3475
2026-04-02,NMDC,SHORT,78.07,76.93,1.46,76.93,09:36:00,78.07,73.51,78.07,SL,-3020
2026-04-02,PERSISTENT,LONG,5034.9,4963.9,1.43,5034.9,09:42:00,4963.9,5247.9,5247.9,TGT,8361
2026-04-06,ADANIENSOL,LONG,949.6,936.1,1.43,949.6,09:36:00,936.1,990.1,990.1,TGT,8430
2026-04-06,CIPLA,SHORT,1191.9,1175.7,1.36,1175.7,09:50:00,1191.9,1127.1,1191.9,SL,-2818
2026-04-06,BRITANNIA,SHORT,5478.0,5410.0,1.25,5410.0,09:50:00,5478.0,5206.0,5478.0,SL,-2583
2026-04-07,SUNPHARMA,LONG,1704.4,1681.3,1.37,1704.4,09:36:00,1681.3,1773.7,1717.4,EOD,1425
2026-04-07,INFY,LONG,1310.9,1293.5,1.34,1310.9,09:54:00,1293.5,1363.1,1341.0,EOD,4492
2026-04-07,MAHLIFE,LONG,328.0,323.75,1.3,328.0,09:38:00,323.75,340.75,340.75,TGT,7674
2026-04-08,BRITANNIA,SHORT,5698.5,5614.0,1.48,5614.0,09:36:00,5698.5,5360.5,5596.5,EOD,525
2026-04-08,INDUSINDBK,LONG,822.0,810.0,1.48,822.0,09:36:00,810.0,858.0,835.45,EOD,3173
2026-04-08,TORNTPHARM,SHORT,4098.9,4038.1,1.48,4038.1,09:36:00,4098.9,3855.7,4030.0,EOD,302
2026-04-09,LTTS,SHORT,3405.0,3355.0,1.48,3355.0,09:51:00,3405.0,3205.0,3333.0,EOD,1220
